




Analysis Type:	PANTHER Overrepresentation Test (Released 20231017)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.7942786 Released 2023-01-05
Analyzed List:	FS_True_MC_False_VG_False.txt (Bacillus subtilis)
Reference List:	reference.txt (Bacillus subtilis)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	reference.txt - REFLIST (883)	FS_True_MC_False_VG_False.txt (2)	FS_True_MC_False_VG_False.txt (expected)	FS_True_MC_False_VG_False.txt (over/under)	FS_True_MC_False_VG_False.txt (fold Enrichment)	FS_True_MC_False_VG_False.txt (raw P-value)	FS_True_MC_False_VG_False.txt (FDR)
glycosylation (GO:0070085)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA modification (GO:0006304)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
iron coordination entity transport (GO:1901678)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
glycolipid metabolic process (GO:0006664)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol biosynthetic process (GO:0006661)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA 5'-end processing (GO:0099116)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
UMP metabolic process (GO:0046049)	12	0	.03	-	 < 0.01	1.00E00	1.00E00
UDP metabolic process (GO:0046048)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
IMP metabolic process (GO:0046040)	15	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphatidylglycerol biosynthetic process (GO:0006655)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
electron transport coupled proton transport (GO:0015990)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidic acid biosynthetic process (GO:0006654)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
quinone biosynthetic process (GO:1901663)	9	0	.02	-	 < 0.01	1.00E00	1.00E00
glycerophospholipid metabolic process (GO:0006650)	8	0	.02	-	 < 0.01	1.00E00	1.00E00
quinone metabolic process (GO:1901661)	9	0	.02	-	 < 0.01	1.00E00	1.00E00
XMP biosynthetic process (GO:0097293)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
XMP metabolic process (GO:0097292)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
GTP metabolic process (GO:0046039)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
GMP metabolic process (GO:0046037)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
CTP metabolic process (GO:0046036)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
UDP-glucuronate metabolic process (GO:0046398)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
galacturonate catabolic process (GO:0046397)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
ATP metabolic process (GO:0046034)	8	0	.02	-	 < 0.01	1.00E00	1.00E00
D-galacturonate metabolic process (GO:0046396)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
magnesium ion transmembrane transport (GO:1903830)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
AMP metabolic process (GO:0046033)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
carboxylic acid catabolic process (GO:0046395)	48	0	.11	-	 < 0.01	1.00E00	1.00E00
carboxylic acid biosynthetic process (GO:0046394)	139	0	.31	-	 < 0.01	1.00E00	1.00E00
galactarate catabolic process (GO:0046392)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
5-phosphoribose 1-diphosphate metabolic process (GO:0046391)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
ribose phosphate biosynthetic process (GO:0046390)	60	0	.14	-	 < 0.01	1.00E00	1.00E00
energy coupled proton transmembrane transport, against electrochemical gradient (GO:0015988)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
proton motive force-driven ATP synthesis (GO:0015986)	8	0	.02	-	 < 0.01	1.00E00	1.00E00
glycosyl compound biosynthetic process (GO:1901659)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylethanolamine biosynthetic process (GO:0006646)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycosyl compound catabolic process (GO:1901658)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
energy derivation by oxidation of organic compounds (GO:0015980)	37	0	.08	-	 < 0.01	1.00E00	1.00E00
glycosyl compound metabolic process (GO:1901657)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
phospholipid metabolic process (GO:0006644)	21	0	.05	-	 < 0.01	1.00E00	1.00E00
membrane lipid metabolic process (GO:0006643)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
establishment of protein localization to endoplasmic reticulum (GO:0072599)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
establishment of protein localization to organelle (GO:0072594)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
reactive oxygen species metabolic process (GO:0072593)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
organic acid transmembrane transport (GO:1903825)	21	0	.05	-	 < 0.01	1.00E00	1.00E00
monoatomic ion homeostasis (GO:0050801)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
deoxyribose phosphate catabolic process (GO:0046386)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
deoxyribose phosphate biosynthetic process (GO:0046385)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
carbon fixation (GO:0015977)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
acyl-CoA metabolic process (GO:0006637)	12	0	.03	-	 < 0.01	1.00E00	1.00E00
fatty acid beta-oxidation (GO:0006635)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
organelle organization (GO:0006996)	8	0	.02	-	 < 0.01	1.00E00	1.00E00
xenobiotic transport (GO:0042908)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
fatty acid biosynthetic process (GO:0006633)	16	0	.04	-	 < 0.01	1.00E00	1.00E00
chaperone-mediated protein folding (GO:0061077)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
xanthine transport (GO:0042906)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
fatty acid metabolic process (GO:0006631)	31	0	.07	-	 < 0.01	1.00E00	1.00E00
nucleoside transmembrane transport (GO:1901642)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular component disassembly (GO:0022411)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
enterobacterial common antigen metabolic process (GO:0046378)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
teichoic acid metabolic process (GO:0046374)	14	0	.03	-	 < 0.01	1.00E00	1.00E00
L-arabinose metabolic process (GO:0046373)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to external stimulus (GO:0071496)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to endogenous stimulus (GO:0071495)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lipid metabolic process (GO:0006629)	58	0	.13	-	 < 0.01	1.00E00	1.00E00
cell cycle process (GO:0022402)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
beta-lactam antibiotic catabolic process (GO:0030655)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
beta-lactam antibiotic metabolic process (GO:0030653)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
monosaccharide catabolic process (GO:0046365)	17	0	.04	-	 < 0.01	1.00E00	1.00E00
monosaccharide biosynthetic process (GO:0046364)	9	0	.02	-	 < 0.01	1.00E00	1.00E00
response to oxidative stress (GO:0006979)	9	0	.02	-	 < 0.01	1.00E00	1.00E00
SRP-dependent cotranslational protein targeting to membrane, translocation (GO:0006616)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lipoteichoic acid biosynthetic process (GO:0070395)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
sulfur amino acid catabolic process (GO:0000098)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
lipoteichoic acid metabolic process (GO:0070394)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
sulfur amino acid biosynthetic process (GO:0000097)	25	0	.06	-	 < 0.01	1.00E00	1.00E00
cotranslational protein targeting to membrane (GO:0006613)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
sulfur amino acid metabolic process (GO:0000096)	25	0	.06	-	 < 0.01	1.00E00	1.00E00
protein targeting to membrane (GO:0006612)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA damage response (GO:0006974)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
purine nucleobase salvage (GO:0043096)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of cellular pH (GO:0030641)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular metabolic compound salvage (GO:0043094)	17	0	.04	-	 < 0.01	1.00E00	1.00E00
disaccharide catabolic process (GO:0046352)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleobase-containing small molecule interconversion (GO:0015949)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of cellular process (GO:0048523)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of cellular process (GO:0048522)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
formate metabolic process (GO:0015942)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
pantothenate catabolic process (GO:0015941)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein targeting (GO:0006605)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
pantothenate biosynthetic process (GO:0015940)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
organic hydroxy compound biosynthetic process (GO:1901617)	19	0	.04	-	 < 0.01	1.00E00	1.00E00
organic hydroxy compound catabolic process (GO:1901616)	15	0	.03	-	 < 0.01	1.00E00	1.00E00
organic hydroxy compound metabolic process (GO:1901615)	38	0	.09	-	 < 0.01	1.00E00	1.00E00
amino sugar biosynthetic process (GO:0046349)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
amino sugar catabolic process (GO:0046348)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to xenobiotic stimulus (GO:0071466)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
farnesyl diphosphate biosynthetic process, mevalonate pathway (GO:0010142)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
CDP-diacylglycerol metabolic process (GO:0046341)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of biological process (GO:0048519)	9	0	.02	-	 < 0.01	1.00E00	1.00E00
pantothenate metabolic process (GO:0015939)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of biological process (GO:0048518)	8	0	.02	-	 < 0.01	1.00E00	1.00E00
coenzyme A biosynthetic process (GO:0015937)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
chemical homeostasis (GO:0048878)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
coenzyme A metabolic process (GO:0015936)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA phosphodiester bond hydrolysis, exonucleolytic (GO:0090503)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA phosphodiester bond hydrolysis, endonucleolytic (GO:0090502)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
nucleobase-containing compound transport (GO:0015931)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA phosphodiester bond hydrolysis (GO:0090501)	9	0	.02	-	 < 0.01	1.00E00	1.00E00
alpha-amino acid biosynthetic process (GO:1901607)	90	0	.20	-	 < 0.01	1.00E00	1.00E00
alpha-amino acid catabolic process (GO:1901606)	18	0	.04	-	 < 0.01	1.00E00	1.00E00
cell motility (GO:0048870)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
alpha-amino acid metabolic process (GO:1901605)	117	0	.27	-	 < 0.01	1.00E00	1.00E00
cellular response to toxic substance (GO:0097237)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
amino acid transmembrane transport (GO:0003333)	16	0	.04	-	 < 0.01	1.00E00	1.00E00
defense response (GO:0006952)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
response to stress (GO:0006950)	17	0	.04	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleotide salvage (GO:0010138)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylethanolamine metabolic process (GO:0046337)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
proline catabolic process to glutamate (GO:0010133)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to superoxide (GO:0071451)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to oxygen radical (GO:0071450)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
lipopolysaccharide transport (GO:0015920)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
archaeal or bacterial-type flagellum-dependent cell motility (GO:0097588)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
fatty acid oxidation (GO:0019395)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
glucarate catabolic process (GO:0019394)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
glucarate metabolic process (GO:0019392)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
purine-containing compound transmembrane transport (GO:0072530)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
phenylacetate catabolic process (GO:0010124)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
response to cadmium ion (GO:0046686)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
response to arsenic-containing substance (GO:0046685)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
inorganic cation transmembrane transport (GO:0098662)	54	0	.12	-	 < 0.01	1.00E00	1.00E00
inorganic anion transmembrane transport (GO:0098661)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
inorganic ion transmembrane transport (GO:0098660)	61	0	.14	-	 < 0.01	1.00E00	1.00E00
galactose catabolic process (GO:0019388)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pyrimidine-containing compound catabolic process (GO:0072529)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
argininosuccinate metabolic process (GO:0000053)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pyrimidine-containing compound biosynthetic process (GO:0072528)	27	0	.06	-	 < 0.01	1.00E00	1.00E00
citrulline metabolic process (GO:0000052)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pyrimidine-containing compound metabolic process (GO:0072527)	32	0	.07	-	 < 0.01	1.00E00	1.00E00
pyridine-containing compound catabolic process (GO:0072526)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
urea cycle (GO:0000050)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
pyridine-containing compound biosynthetic process (GO:0072525)	9	0	.02	-	 < 0.01	1.00E00	1.00E00
pyridine-containing compound metabolic process (GO:0072524)	15	0	.03	-	 < 0.01	1.00E00	1.00E00
purine-containing compound catabolic process (GO:0072523)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
purine-containing compound biosynthetic process (GO:0072522)	54	0	.12	-	 < 0.01	1.00E00	1.00E00
purine-containing compound metabolic process (GO:0072521)	76	0	.17	-	 < 0.01	1.00E00	1.00E00
response to antibiotic (GO:0046677)	12	0	.03	-	 < 0.01	1.00E00	1.00E00
inorganic cation import across plasma membrane (GO:0098659)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
butanediol metabolic process (GO:0034077)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
external encapsulating structure organization (GO:0045229)	36	0	.08	-	 < 0.01	1.00E00	1.00E00
import into cell (GO:0098657)	30	0	.07	-	 < 0.01	1.00E00	1.00E00
monoatomic anion transmembrane transport (GO:0098656)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
monoatomic cation transmembrane transport (GO:0098655)	54	0	.12	-	 < 0.01	1.00E00	1.00E00
sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin) (GO:0019379)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of DNA-templated DNA replication (GO:2000104)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
transition metal ion transport (GO:0000041)	19	0	.04	-	 < 0.01	1.00E00	1.00E00
alkanesulfonate catabolic process (GO:0046306)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
gene expression (GO:0010467)	101	0	.23	-	 < 0.01	1.00E00	1.00E00
peptide biosynthetic process (GO:0043043)	87	0	.20	-	 < 0.01	1.00E00	1.00E00
malate transmembrane transport (GO:0071423)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
succinate transmembrane transport (GO:0071422)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
manganese ion transmembrane transport (GO:0071421)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pyridine nucleotide salvage (GO:0019365)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pyridine nucleotide biosynthetic process (GO:0019363)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
pyridine nucleotide metabolic process (GO:0019362)	13	0	.03	-	 < 0.01	1.00E00	1.00E00
carboxylic acid transmembrane transport (GO:1905039)	21	0	.05	-	 < 0.01	1.00E00	1.00E00
tRNA aminoacylation (GO:0043039)	21	0	.05	-	 < 0.01	1.00E00	1.00E00
amino acid activation (GO:0043038)	21	0	.05	-	 < 0.01	1.00E00	1.00E00
cellular response to organonitrogen compound (GO:0071417)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
folic acid biosynthetic process (GO:0046656)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
folic acid metabolic process (GO:0046655)	8	0	.02	-	 < 0.01	1.00E00	1.00E00
tetrahydrofolate biosynthetic process (GO:0046654)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
tetrahydrofolate metabolic process (GO:0046653)	9	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of DNA binding (GO:0043392)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA-mediated transformation (GO:0009294)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
horizontal gene transfer (GO:0009292)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
ribosomal small subunit assembly (GO:0000028)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
ribosomal large subunit assembly (GO:0000027)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
nicotinamide nucleotide biosynthetic process (GO:0019359)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
maltose catabolic process (GO:0000025)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
maltose metabolic process (GO:0000023)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glutaminyl-tRNAGln biosynthesis via transamidation (GO:0070681)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
siroheme biosynthetic process (GO:0019354)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
polyprenol biosynthetic process (GO:0016094)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
polyprenol metabolic process (GO:0016093)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
teichoic acid biosynthetic process (GO:0019350)	14	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of DNA binding (GO:0043388)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
chromosome organization (GO:0051276)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
transsulfuration (GO:0019346)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
cysteine biosynthetic process (GO:0019344)	8	0	.02	-	 < 0.01	1.00E00	1.00E00
protein modification process (GO:0036211)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
cysteine biosynthetic process via cystathionine (GO:0019343)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
peptidoglycan-based cell wall biogenesis (GO:0009273)	33	0	.07	-	 < 0.01	1.00E00	1.00E00
purine nucleoside bisphosphate biosynthetic process (GO:0034033)	14	0	.03	-	 < 0.01	1.00E00	1.00E00
purine nucleoside bisphosphate metabolic process (GO:0034032)	17	0	.04	-	 < 0.01	1.00E00	1.00E00
ribonucleoside bisphosphate biosynthetic process (GO:0034030)	14	0	.03	-	 < 0.01	1.00E00	1.00E00
D-galacturonate catabolic process (GO:0019698)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
rRNA catabolic process (GO:0016075)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
denitrification pathway (GO:0019333)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
choline metabolic process (GO:0019695)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
alkanesulfonate metabolic process (GO:0019694)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ribose phosphate metabolic process (GO:0019693)	65	0	.15	-	 < 0.01	1.00E00	1.00E00
rRNA metabolic process (GO:0016072)	12	0	.03	-	 < 0.01	1.00E00	1.00E00
deoxyribose phosphate metabolic process (GO:0019692)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
mRNA metabolic process (GO:0016071)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
response to temperature stimulus (GO:0009266)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
2'-deoxyribonucleotide biosynthetic process (GO:0009265)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of RNA metabolic process (GO:0051254)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
deoxyribonucleotide catabolic process (GO:0009264)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of RNA metabolic process (GO:0051253)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
deoxyribonucleotide biosynthetic process (GO:0009263)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
deoxyribonucleotide metabolic process (GO:0009262)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
purine nucleoside metabolic process (GO:0042278)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
ribonucleotide biosynthetic process (GO:0009260)	58	0	.13	-	 < 0.01	1.00E00	1.00E00
ribosomal small subunit biogenesis (GO:0042274)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
ribosomal large subunit biogenesis (GO:0042273)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of DNA-templated transcription (GO:0045893)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of DNA-templated transcription (GO:0045892)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
L-lyxose metabolic process (GO:0019324)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pentose catabolic process (GO:0019323)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
pentose metabolic process (GO:0019321)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
hexose catabolic process (GO:0019320)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
glyceraldehyde-3-phosphate metabolic process (GO:0019682)	8	0	.02	-	 < 0.01	1.00E00	1.00E00
ribonucleotide metabolic process (GO:0009259)	62	0	.14	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein metabolic process (GO:0051248)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of protein metabolic process (GO:0051246)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
peptidoglycan turnover (GO:0009254)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of translation (GO:0017148)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
peptidoglycan catabolic process (GO:0009253)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
peptidoglycan biosynthetic process (GO:0009252)	14	0	.03	-	 < 0.01	1.00E00	1.00E00
glucan catabolic process (GO:0009251)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glucan biosynthetic process (GO:0009250)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
hexose biosynthetic process (GO:0019319)	9	0	.02	-	 < 0.01	1.00E00	1.00E00
hexose metabolic process (GO:0019318)	21	0	.05	-	 < 0.01	1.00E00	1.00E00
propionate metabolic process, methylcitrate cycle (GO:0019679)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
ammonia assimilation cycle (GO:0019676)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
organic acid catabolic process (GO:0016054)	50	0	.11	-	 < 0.01	1.00E00	1.00E00
NAD metabolic process (GO:0019674)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
organic acid biosynthetic process (GO:0016053)	158	0	.36	-	 < 0.01	1.00E00	1.00E00
carbohydrate catabolic process (GO:0016052)	50	0	.11	-	 < 0.01	1.00E00	1.00E00
inositol catabolic process (GO:0019310)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
carbohydrate biosynthetic process (GO:0016051)	18	0	.04	-	 < 0.01	1.00E00	1.00E00
ubiquinone biosynthetic process via 3,4-dihydroxy-5-polyprenylbenzoate (GO:0032194)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein lipoylation (GO:0009249)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycolipid biosynthetic process (GO:0009247)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
enterobacterial common antigen biosynthetic process (GO:0009246)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
lipid A biosynthetic process (GO:0009245)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
establishment of localization (GO:0051234)	202	0	.46	-	 < 0.01	1.00E00	1.00E00
isopentenyl diphosphate biosynthetic process (GO:0009240)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
ribosome assembly (GO:0042255)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
ribosome biogenesis (GO:0042254)	18	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of DNA replication (GO:0008156)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nitrogenous compound fermentation (GO:0019666)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
D-ribose catabolic process (GO:0019303)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
anaerobic amino acid catabolic process (GO:0019665)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular component organization (GO:0016043)	50	0	.11	-	 < 0.01	1.00E00	1.00E00
rhamnose catabolic process (GO:0019301)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
lipid catabolic process (GO:0016042)	8	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of termination of DNA-templated transcription (GO:0060567)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
protein unfolding (GO:0043335)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
siderophore metabolic process (GO:0009237)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cobalamin biosynthetic process (GO:0009236)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
cobalamin metabolic process (GO:0009235)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
menaquinone biosynthetic process (GO:0009234)	9	0	.02	-	 < 0.01	1.00E00	1.00E00
menaquinone metabolic process (GO:0009233)	9	0	.02	-	 < 0.01	1.00E00	1.00E00
NAD salvage (GO:0034355)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
riboflavin biosynthetic process (GO:0009231)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
biological process involved in interspecies interaction between organisms (GO:0044419)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
L-asparagine metabolic process (GO:0070982)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
L-asparagine biosynthetic process (GO:0070981)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
chromosome segregation (GO:0007059)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
peptidyl-methionine modification (GO:0018206)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphate ion transmembrane transport (GO:0035435)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
peptidyl-lysine modification (GO:0018205)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
copper ion transmembrane transport (GO:0035434)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
thiamine diphosphate biosynthetic process (GO:0009229)	8	0	.02	-	 < 0.01	1.00E00	1.00E00
thiamine biosynthetic process (GO:0009228)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
